node_id,datastate_sum,entry_id,config_id,entry_prob,entry_drh,config_prob
70,0.03125,7,362372,0.0614304280615819,Pauline Christianity (ca. 45-60 CE),0.001961972694925199
71,0.0625,160,913286,0.3083518623272855,Rwala Bedouin,0.001943091172782126
72,1.21875,294,361350,1.0,Estado da Índia Renegades in Deccan,0.0018922752089670803
73,1.0,233,100230,1.0,The Ghost Dance Movement and the Lakota Sioux,0.0018911920397876277
74,0.5,370,1027968,0.9170659926344084,Cult of Thecla,0.0018484611746825601
75,0.125,177,377734,0.3027693665759087,Chinese Nunnery in Myanmar,0.0018215008054608378
76,2.0625,64,493447,1.0,Hmong Christianity,0.0018140057039761305
76,2.0625,69,493447,1.0,Tribal Christianity (and allied castes) in the Himalayas,0.0018140057039761305
77,0.0625,226,626566,0.6302538710887671,Fangshi,0.001811202773326615
78,0.5,403,1025538,0.5419080443150284,Sokoto,0.0017613677043764042
79,0.125,82,632704,0.219565987784718,Amhara,0.0017607827607032283
80,0.125,363,370562,0.0426121878885343,Circumcellions,0.0017434285033300905
81,0.21875,221,1024902,0.0405733638190117,Pharisees,0.0017422741716025547
83,1.3125,347,911238,1.0,Exovedate,0.0017326691850617732
84,0.59375,312,1025923,0.1231607314462664,Early Christianity and Monasticism in Egypt,0.0017263172157911805
85,0.71875,111,110464,0.6117108093683453,Manus,0.001712786363456193
86,0.15625,82,894848,0.2115647517114403,Amhara,0.0016966178202027094
88,0.0625,91,507782,0.1296789874971189,Haitians,0.0016738961181627396
89,0.375,171,634496,0.3812473933586955,Mundurucu,0.0016642978973761859
90,2.625,238,493442,1.0,Nigerian Pentecostalism,0.0016565111431500177
90,2.625,316,493442,1.0,Anglican Church of Korea,0.0016565111431500177
91,2.125,144,1041287,1.0,Tamil Śaiva Bhakti,0.001646308603158534
91,2.125,231,1041287,1.0,Ladakhi Buddhism,0.001646308603158534
93,1.3125,361,360960,1.0,Peyote Religion (Peyotism) and the Native American Church,0.0016411906732822065
94,0.5,101,385920,0.7064474641478617,Mādhva,0.0016355749500575152
95,0.5,404,624512,0.4328493120275752,Tunisian Women's Associations,0.001606447062160023
96,0.25,218,361990,0.0926287962025596,Gaengjeongyudo,0.0015990097192933109
98,0.5625,334,1027971,0.2593418383711559,K’iche’ (Quiché),0.0015865272777424012
99,0.125,92,516992,0.2078139203282712,Diasporic American Hinduism,0.0015737003464774667
100,0.625,243,1044354,0.8796694315501132,Chan Buddhists in early Qing period,0.0015645355532243634
101,0.1875,140,634370,0.484900756296406,Hidatsa,0.0015483773959684588
102,0.71875,211,126854,0.8525243538729467,Postsocialist Mongolian Shamanism,0.0015458812234779293
103,0.90625,124,769958,0.803910134469625,Mbau Fijians,0.0015288404319183226
104,1.125,208,886658,1.0,Sub Saharan Africa Pentecostalism,0.0015203313573360726
105,0.5,148,638850,0.9552015242133896,Gros Ventre,0.0015061208272128355
106,0.5,403,1025542,0.4580919556849717,Sokoto,0.0014889396546936622
107,0.34375,87,110466,0.3519464481752977,!Kung,0.0014858615255171298
108,0.125,43,524166,0.1192117165605203,Worshipers of Śītalā,0.0014845918172789565
109,0.125,85,624514,0.162071181223438,Tallensi,0.0014781051757440438
110,0.125,340,1019782,0.0286314999513844,Polytheistic Pre-Islamic South Arabia,0.0014688862305698
111,0.125,142,765824,0.0958922417460446,Huichol,0.0014463276628785802
112,0.375,128,634502,0.489439005371895,Yapese,0.0014152523669600289
113,0.625,345,518023,0.280905819737156,Taiping 太平 Movement,0.0014033712381637793
114,0.625,376,1042306,0.6370318581150105,The Dingxiang Wang Cult,0.0013735209339216688
115,0.625,176,634759,0.1155663238736922,Omaha,0.0013498360368743242
116,0.15625,221,1025670,0.0312972275485861,Pharisees,0.0013439445505161395
117,0.125,171,632448,0.3057262756319293,Mundurucu,0.0013346179057758191
118,0.34375,194,364422,0.0905819944160288,"The New Prophecy or """"""""""""""""Montanism""""""""""""""""",0.001319231354238804
120,1.0,201,99840,1.0,Spiritualism,0.0012768034234216386
122,0.0625,149,634368,0.1667544440607686,Trumai,0.0012370268839947338
123,1.0,197,516608,1.0,Ilm-e-Khshnoom,0.001219355410503926
126,0.9375,117,634498,0.9331076692104,Mapuche,0.0011752213410123962
130,1.5,254,503682,1.0,Society of Jesus,0.0011282874464180407
131,2.0,183,362242,1.0,American Evangelicalism,0.001122371793395144
131,2.0,225,362242,1.0,Protestantism welcoming People with Disabilities,0.001122371793395144
133,0.15625,86,638886,0.740508243112797,Maori,0.00111480057733409
134,0.0625,385,370176,0.1592024875931821,Messalians,0.0011146154342336289
135,0.03125,139,1025671,0.0160314883823897,Fur,0.0011089302247459757
137,0.3125,141,763782,0.3952877956024127,Kwoma,0.001097956132273799
139,0.125,71,130950,0.3677739585103814,Kuy traditional religions,0.001086066920618836
140,0.03125,139,1025921,0.0156922226652272,Fur,0.0010854625342229356
141,0.125,78,1034118,0.0609695942256698,Huayan School (Early Tang),0.0010853304680632492
142,0.5,84,100226,0.6944797500691794,Mohism,0.0010804136730376303
143,1.34375,122,651138,0.2147035686236016,Ainu,0.0010488555881525462
144,1.0,37,1041280,1.0,The Worship of Jagannath in Puri (Odisha),0.0010419905797387369
145,0.8125,169,632320,0.9719937279065262,Timbira (Canela),0.001037054712860298
146,0.375,200,516999,0.1765378137711543,Postsocialist Mongolian Buddhism,0.001036709000648449
147,0.15625,212,1030022,0.0179439600557292,Céli Dé monks,0.0010282519243429039
148,0.25,172,1041926,0.4408170368833742,Wogeo,0.0010276313073880605
149,0.75,104,108416,0.9014134815031808,Yahgan,0.0010253317261264279
